p,v,cp,rcp,a,ba,sa,hl,pcp,t
107100.0,400,1500.0,0.0,BU,307000.0,180100.0,False,0.0,14:19:52
107100.0,100,1500.0,0.0,BU,306600.0,180100.0,False,100.0,14:19:52
107000.0,1000,1400.0,0.0,SD,306500.0,180100.0,False,0.0,14:19:41
107000.0,100,1400.0,0.0,BU,306500.0,179100.0,False,0.0,14:19:31
107000.0,200,1400.0,0.0,BU,306400.0,179100.0,False,100.0,14:19:31
106900.0,100,1300.0,0.0,BU,306200.0,179100.0,False,0.0,14:19:31
106900.0,100,1300.0,0.0,BU,306100.0,179100.0,False,100.0,14:19:31
106800.0,600,1200.0,0.0,BU,306000.0,179100.0,False,500.0,14:19:19
106300.0,100,700.0,0.0,SD,305400.0,179100.0,False,-300.0,14:19:16
106600.0,300,1000.0,0.0,SD,305400.0,179000.0,False,0.0,14:19:16
106600.0,400,1000.0,0.0,SD,305400.0,178700.0,False,200.0,14:19:10
106400.0,600,800.0,0.0,SD,305400.0,178300.0,False,0.0,14:19:05
106400.0,300,800.0,0.0,SD,305400.0,177700.0,False,0.0,14:19:01
106400.0,100,800.0,0.0,SD,305400.0,177400.0,False,100.0,14:19:01
106300.0,300,700.0,0.0,SD,305400.0,177300.0,False,0.0,14:18:54
106300.0,400,700.0,0.0,SD,305400.0,177000.0,False,-600.0,14:18:54
106900.0,100,1300.0,0.0,BU,305400.0,176600.0,False,100.0,14:18:45
106800.0,500,1200.0,0.0,BU,305300.0,176600.0,False,600.0,14:18:45
106200.0,400,600.0,0.0,SD,304800.0,176600.0,False,-700.0,14:18:45
106900.0,100,1300.0,0.0,SD,304800.0,176200.0,False,0.0,14:18:41
106900.0,200,1300.0,0.0,SD,304800.0,176100.0,False,0.0,14:18:40
106900.0,300,1300.0,0.0,SD,304800.0,175900.0,False,0.0,14:18:39
106900.0,100,1300.0,0.0,SD,304800.0,175600.0,False,0.0,14:18:39
106900.0,400,1300.0,0.0,SD,304800.0,175500.0,False,0.0,14:18:29
106900.0,400,1300.0,0.0,SD,304800.0,175100.0,False,0.0,14:18:27
106900.0,600,1300.0,0.0,SD,304800.0,174700.0,False,0.0,14:18:27
106900.0,100,1300.0,0.0,BU,304800.0,174100.0,False,0.0,14:18:04
106900.0,600,1300.0,0.0,BU,304700.0,174100.0,False,0.0,14:17:37
106900.0,300,1300.0,0.0,BU,304100.0,174100.0,False,0.0,14:17:00
106900.0,100,1300.0,0.0,BU,303800.0,174100.0,False,0.0,14:17:00
106900.0,100,1300.0,0.0,BU,303700.0,174100.0,False,-100.0,14:17:00
107000.0,100,1400.0,0.0,BU,303600.0,174100.0,False,100.0,14:16:27
106900.0,500,1300.0,0.0,BU,303500.0,174100.0,False,-100.0,14:16:27
107000.0,500,1400.0,0.0,BU,303000.0,174100.0,False,100.0,14:15:50
106900.0,100,1300.0,0.0,BU,302500.0,174100.0,False,-100.0,14:15:50
107000.0,500,1400.0,0.0,BU,302400.0,174100.0,False,100.0,14:15:18
106900.0,100,1300.0,0.0,BU,301900.0,174100.0,False,800.0,14:15:18
106100.0,600,500.0,0.0,BU,301800.0,174100.0,False,0.0,14:14:19
106100.0,1000,500.0,0.0,BU,301200.0,174100.0,False,0.0,14:14:19
106100.0,100,500.0,0.0,BU,300200.0,174100.0,False,0.0,14:14:19
106100.0,300,500.0,0.0,SD,300100.0,174100.0,False,0.0,14:14:12
106100.0,100,500.0,0.0,SD,300100.0,173800.0,False,0.0,14:14:12
106100.0,600,500.0,0.0,SD,300100.0,173700.0,False,-200.0,14:14:06
106300.0,100,700.0,0.0,SD,300100.0,173100.0,False,200.0,14:14:00
106100.0,300,500.0,0.0,SD,300100.0,173000.0,False,-200.0,14:14:00
106300.0,400,700.0,0.0,SD,300100.0,172700.0,False,0.0,14:13:55
106300.0,200,700.0,0.0,SD,300100.0,172300.0,False,0.0,14:13:55
106300.0,300,700.0,0.0,SD,300100.0,172100.0,False,0.0,14:13:51
106300.0,100,700.0,0.0,SD,300100.0,171800.0,False,0.0,14:13:51
106300.0,100,700.0,0.0,SD,300100.0,171700.0,False,-200.0,14:13:51
106500.0,600,900.0,0.0,BU,300100.0,171600.0,False,0.0,14:13:27
106500.0,200,900.0,0.0,BU,299500.0,171600.0,False,-300.0,14:13:27
106800.0,400,1200.0,0.0,SD,299300.0,171600.0,False,0.0,14:12:46
106800.0,500,1200.0,0.0,SD,299300.0,171200.0,False,0.0,14:12:44
106800.0,1000,1200.0,0.0,SD,299300.0,170700.0,False,-200.0,14:12:30
107000.0,200,1400.0,0.0,BU,299300.0,169700.0,False,-300.0,14:12:29
107300.0,100,1700.0,0.0,BU,299100.0,169700.0,False,300.0,14:12:29
107000.0,200,1400.0,0.0,BU,299000.0,169700.0,False,200.0,14:12:29
106800.0,200,1200.0,0.0,SD,298800.0,169700.0,False,0.0,14:12:27
106800.0,300,1200.0,0.0,SD,298800.0,169500.0,False,0.0,14:12:25
106800.0,700,1200.0,0.0,SD,298800.0,169200.0,False,0.0,14:12:25
106800.0,400,1200.0,0.0,SD,298800.0,168500.0,False,-200.0,14:11:59
107000.0,200,1400.0,0.0,BU,298800.0,168100.0,False,100.0,14:11:57
106900.0,400,1300.0,0.0,BU,298600.0,168100.0,False,100.0,14:11:57
106800.0,400,1200.0,0.0,SD,298200.0,168100.0,False,-200.0,14:11:51
107000.0,200,1400.0,0.0,SD,298200.0,167700.0,False,0.0,14:11:48
107000.0,500,1400.0,0.0,SD,298200.0,167500.0,False,0.0,14:11:37
107000.0,200,1400.0,0.0,SD,298200.0,167000.0,False,-300.0,14:11:37
107300.0,700,1700.0,0.0,BU,298200.0,166800.0,False,0.0,14:11:21
107300.0,600,1700.0,0.0,SD,297500.0,166800.0,False,-100.0,14:11:06
107400.0,200,1800.0,0.0,BU,297500.0,166200.0,False,100.0,14:10:43
107300.0,100,1700.0,0.0,SD,297300.0,166200.0,False,0.0,14:10:30
107300.0,300,1700.0,0.0,SD,297300.0,166100.0,False,0.0,14:10:30
107300.0,300,1700.0,0.0,SD,297300.0,165800.0,False,0.0,14:10:30
107300.0,100,1700.0,0.0,SD,297300.0,165500.0,False,0.0,14:10:30
107300.0,400,1700.0,0.0,SD,297300.0,165400.0,False,-100.0,14:10:30
107400.0,500,1800.0,0.0,BU,297300.0,165000.0,False,100.0,14:10:12
107300.0,100,1700.0,0.0,SD,296800.0,165000.0,False,-100.0,14:10:12
107400.0,600,1800.0,0.0,BU,296800.0,164900.0,False,0.0,14:09:39
107400.0,200,1800.0,0.0,BU,296200.0,164900.0,False,0.0,14:09:07
107400.0,500,1800.0,0.0,BU,296000.0,164900.0,False,0.0,14:09:07
107400.0,3000,1800.0,0.0,BU,295500.0,164900.0,True,0.0,14:08:46
107400.0,600,1800.0,0.0,BU,292500.0,164900.0,False,0.0,14:08:34
107400.0,600,1800.0,0.0,BU,291900.0,164900.0,False,0.0,14:08:00
107400.0,200,1800.0,0.0,BU,291300.0,164900.0,False,0.0,14:08:00
107400.0,200,1800.0,0.0,BU,291100.0,164900.0,False,0.0,14:07:50
107400.0,500,1800.0,0.0,BU,290900.0,164900.0,False,0.0,14:07:23
107400.0,500,1800.0,0.0,BU,290400.0,164900.0,False,100.0,14:06:50
107300.0,200,1700.0,0.0,BU,289900.0,164900.0,False,-100.0,14:06:50
107400.0,600,1800.0,0.0,BU,289700.0,164900.0,False,0.0,14:06:12
107400.0,100,1800.0,0.0,BU,289100.0,164900.0,False,-100.0,14:06:12
107500.0,100,1900.0,0.0,BU,289000.0,164900.0,False,100.0,14:05:29
107400.0,200,1800.0,0.0,BU,288900.0,164900.0,False,0.0,14:05:29
107400.0,200,1800.0,0.0,BU,288700.0,164900.0,False,0.0,14:05:29
107400.0,600,1800.0,0.0,BU,288500.0,164900.0,False,400.0,14:04:57
107000.0,200,1400.0,0.0,SD,287900.0,164900.0,False,0.0,14:04:35
107000.0,200,1400.0,0.0,SD,287900.0,164700.0,False,-400.0,14:04:35
107400.0,200,1800.0,0.0,BU,287900.0,164500.0,False,100.0,14:04:21
107300.0,300,1700.0,0.0,BU,287700.0,164500.0,False,0.0,14:04:21
107300.0,200,1700.0,0.0,BU,287400.0,164500.0,False,300.0,14:04:21
106500.0,100,900.0,0.0,BU,272600.0,161000.0,False,0.0,13:56:28
106500.0,500,900.0,0.0,SD,272500.0,161000.0,False,-100.0,13:56:22
106600.0,600,1000.0,0.0,BU,272500.0,160500.0,False,-100.0,13:55:58
106700.0,600,1100.0,0.0,SD,271900.0,160500.0,False,0.0,13:55:26
106700.0,500,1100.0,0.0,SD,271900.0,159900.0,False,0.0,13:55:26
106700.0,500,1100.0,0.0,SD,271900.0,159400.0,False,0.0,13:55:26
106700.0,100,1100.0,0.0,SD,271900.0,158900.0,False,0.0,13:55:19
106700.0,400,1100.0,0.0,BU,271900.0,158800.0,False,0.0,13:54:46
106700.0,100,1100.0,0.0,BU,271500.0,158800.0,False,0.0,13:54:18
106700.0,300,1100.0,0.0,BU,271400.0,158800.0,False,100.0,13:54:18
106600.0,100,1000.0,0.0,BU,271100.0,158800.0,False,-100.0,13:54:18
106700.0,700,1100.0,0.0,BU,271000.0,158800.0,False,-100.0,13:54:09
106800.0,500,1200.0,0.0,BU,270300.0,158800.0,False,100.0,13:53:45
106700.0,100,1100.0,0.0,BU,269800.0,158800.0,False,-100.0,13:53:45
106800.0,400,1200.0,0.0,BU,269700.0,158800.0,False,900.0,13:53:14
105900.0,100,300.0,0.0,BU,269300.0,158800.0,False,300.0,13:53:14
105600.0,2900,0.0,0.0,BU,269200.0,158800.0,True,0.0,13:52:54
105600.0,3000,0.0,0.0,BU,266300.0,158800.0,True,0.0,13:52:48
105600.0,100,0.0,0.0,BU,263300.0,158800.0,False,0.0,13:52:47
105600.0,500,0.0,0.0,BU,263200.0,158800.0,False,0.0,13:52:46
105600.0,100,0.0,0.0,BU,262700.0,158800.0,False,-100.0,13:52:45
105700.0,600,100.0,0.0,BU,262600.0,158800.0,False,0.0,13:52:45
105700.0,500,100.0,0.0,BU,262000.0,158800.0,False,0.0,13:52:45
105700.0,2000,100.0,0.0,BU,261500.0,158800.0,True,100.0,13:52:45
105600.0,400,0.0,0.0,BU,259500.0,158800.0,False,0.0,13:52:26
105600.0,500,0.0,0.0,BU,259100.0,158800.0,False,0.0,13:51:57
105600.0,200,0.0,0.0,BU,258600.0,158800.0,False,0.0,13:51:57
105600.0,200,0.0,0.0,BU,258400.0,158800.0,False,0.0,13:51:57
105600.0,500,0.0,0.0,BU,258200.0,158800.0,False,0.0,13:51:57
105600.0,5000,0.0,0.0,BU,257700.0,158800.0,True,0.0,13:51:57
105600.0,8300,0.0,0.0,BU,252700.0,158800.0,True,-100.0,13:51:57
105700.0,100,100.0,0.0,BU,244400.0,158800.0,False,0.0,13:51:57
105700.0,700,100.0,0.0,BU,244300.0,158800.0,False,0.0,13:51:57
105700.0,100,100.0,0.0,BU,243600.0,158800.0,False,0.0,13:51:57
105700.0,1900,100.0,0.0,BU,243500.0,158800.0,True,0.0,13:51:57
105700.0,600,100.0,0.0,BU,241600.0,158800.0,False,0.0,13:51:57
105700.0,100,100.0,0.0,BU,241000.0,158800.0,False,0.0,13:51:57
105700.0,500,100.0,0.0,BU,240900.0,158800.0,False,0.0,13:51:57
105700.0,100,100.0,0.0,BU,240400.0,158800.0,False,0.0,13:51:57
105700.0,400,100.0,0.0,BU,240300.0,158800.0,False,0.0,13:51:57
105700.0,400,100.0,0.0,BU,239900.0,158800.0,False,-300.0,13:51:57
106000.0,400,400.0,0.0,BU,239500.0,158800.0,False,0.0,13:51:34
106000.0,100,400.0,0.0,BU,239100.0,158800.0,False,100.0,13:51:34
105900.0,100,300.0,0.0,BU,239000.0,158800.0,False,-100.0,13:51:34
106000.0,500,400.0,0.0,BU,238900.0,158800.0,False,100.0,13:50:59
105900.0,100,300.0,0.0,BU,238400.0,158800.0,False,-100.0,13:50:59
106000.0,600,400.0,0.0,BU,238300.0,158800.0,False,0.0,13:50:22
106000.0,600,400.0,0.0,BU,237700.0,158800.0,False,0.0,13:49:49
106000.0,600,400.0,0.0,BU,237100.0,158800.0,False,300.0,13:49:14
105700.0,100,100.0,0.0,SD,236500.0,158800.0,False,0.0,13:48:51
105700.0,100,100.0,0.0,SD,236500.0,158700.0,False,0.0,13:48:51
105700.0,600,100.0,0.0,SD,236500.0,158600.0,False,0.0,13:47:51
105700.0,300,100.0,0.0,BU,236500.0,158000.0,False,0.0,13:47:38
105700.0,300,100.0,0.0,BU,236200.0,158000.0,False,0.0,13:47:30
105700.0,400,100.0,0.0,BU,235900.0,158000.0,False,100.0,13:47:30
105600.0,1700,0.0,0.0,BU,235500.0,158000.0,False,0.0,13:47:26
105600.0,500,0.0,0.0,BU,233800.0,158000.0,False,0.0,13:46:37
105600.0,200,0.0,0.0,BU,233300.0,158000.0,False,-100.0,13:46:37
105700.0,200,100.0,0.0,BU,233100.0,158000.0,False,0.0,13:46:35
105700.0,800,100.0,0.0,BU,232900.0,158000.0,False,100.0,13:46:35
105600.0,400,0.0,0.0,SD,232100.0,158000.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157600.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157500.0,False,0.0,13:46:34
105600.0,200,0.0,0.0,SD,232100.0,157400.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157200.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157100.0,False,0.0,13:46:34
105600.0,1700,0.0,0.0,SD,232100.0,157000.0,False,-100.0,13:46:34
105700.0,500,100.0,0.0,BU,232100.0,155300.0,False,100.0,13:46:29
105600.0,600,0.0,0.0,SD,231600.0,155300.0,False,0.0,13:46:26
105600.0,500,0.0,0.0,SD,231600.0,154700.0,False,-100.0,13:46:20
105700.0,600,100.0,0.0,BU,231600.0,154200.0,False,100.0,13:46:19
105600.0,200,0.0,0.0,SD,231000.0,154200.0,False,0.0,13:46:13
105600.0,400,0.0,0.0,SD,231000.0,154000.0,False,0.0,13:46:13
105600.0,200,0.0,0.0,SD,231000.0,153600.0,False,0.0,13:46:12
105600.0,600,0.0,0.0,SD,231000.0,153400.0,False,-100.0,13:45:59
105700.0,500,100.0,0.0,BU,231000.0,152800.0,False,100.0,13:45:43
105600.0,600,0.0,0.0,SD,230500.0,152800.0,False,-200.0,13:45:37
105800.0,100,200.0,0.0,BU,230500.0,152200.0,False,100.0,13:45:28
105700.0,100,100.0,0.0,BU,230400.0,152200.0,False,0.0,13:45:28
105700.0,15000,100.0,0.0,BU,230300.0,152200.0,True,0.0,13:45:28
105700.0,100,100.0,0.0,BU,215300.0,152200.0,False,-100.0,13:45:28
105800.0,100,200.0,0.0,BU,215200.0,152200.0,False,0.0,13:45:28
105800.0,1000,200.0,0.0,BU,215100.0,152200.0,False,0.0,13:45:28
105800.0,100,200.0,0.0,BU,214100.0,152200.0,False,-100.0,13:45:28
105900.0,600,300.0,0.0,BU,214000.0,152200.0,False,0.0,13:45:28
105900.0,100,300.0,0.0,BU,213400.0,152200.0,False,0.0,13:45:28
105900.0,400,300.0,0.0,BU,213300.0,152200.0,False,-100.0,13:45:28
106000.0,100,400.0,0.0,BU,212900.0,152200.0,False,0.0,13:45:26
106000.0,500,400.0,0.0,BU,212800.0,152200.0,False,0.0,13:45:25
106000.0,500,400.0,0.0,BU,212300.0,152200.0,False,0.0,13:45:06
106000.0,200,400.0,0.0,SD,211800.0,152200.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,152000.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,151400.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,150800.0,False,0.0,13:44:43
106000.0,100,400.0,0.0,SD,211800.0,150200.0,False,-1000.0,13:44:43
107000.0,100,1400.0,0.0,BU,211800.0,150100.0,False,0.0,13:44:41
107000.0,1600,1400.0,0.0,BU,211700.0,150100.0,False,200.0,13:44:41
106800.0,1400,1200.0,0.0,BU,210100.0,150100.0,False,0.0,13:44:41
106800.0,1500,1200.0,0.0,BU,208700.0,150100.0,False,200.0,13:44:41
106600.0,300,1000.0,0.0,BU,207200.0,150100.0,False,100.0,13:44:41
105600.0,200,0.0,0.0,SD,232100.0,157400.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157200.0,False,0.0,13:46:34
105600.0,100,0.0,0.0,SD,232100.0,157100.0,False,0.0,13:46:34
105600.0,1700,0.0,0.0,SD,232100.0,157000.0,False,-100.0,13:46:34
105700.0,500,100.0,0.0,BU,232100.0,155300.0,False,100.0,13:46:29
105600.0,600,0.0,0.0,SD,231600.0,155300.0,False,0.0,13:46:26
105600.0,500,0.0,0.0,SD,231600.0,154700.0,False,-100.0,13:46:20
105700.0,600,100.0,0.0,BU,231600.0,154200.0,False,100.0,13:46:19
105600.0,200,0.0,0.0,SD,231000.0,154200.0,False,0.0,13:46:13
105600.0,400,0.0,0.0,SD,231000.0,154000.0,False,0.0,13:46:13
105600.0,200,0.0,0.0,SD,231000.0,153600.0,False,0.0,13:46:12
105600.0,600,0.0,0.0,SD,231000.0,153400.0,False,-100.0,13:45:59
105700.0,500,100.0,0.0,BU,231000.0,152800.0,False,100.0,13:45:43
105600.0,600,0.0,0.0,SD,230500.0,152800.0,False,-200.0,13:45:37
105800.0,100,200.0,0.0,BU,230500.0,152200.0,False,100.0,13:45:28
105700.0,100,100.0,0.0,BU,230400.0,152200.0,False,0.0,13:45:28
105700.0,15000,100.0,0.0,BU,230300.0,152200.0,True,0.0,13:45:28
105700.0,100,100.0,0.0,BU,215300.0,152200.0,False,-100.0,13:45:28
105800.0,100,200.0,0.0,BU,215200.0,152200.0,False,0.0,13:45:28
105800.0,1000,200.0,0.0,BU,215100.0,152200.0,False,0.0,13:45:28
105800.0,100,200.0,0.0,BU,214100.0,152200.0,False,-100.0,13:45:28
105900.0,600,300.0,0.0,BU,214000.0,152200.0,False,0.0,13:45:28
105900.0,100,300.0,0.0,BU,213400.0,152200.0,False,0.0,13:45:28
105900.0,400,300.0,0.0,BU,213300.0,152200.0,False,-100.0,13:45:28
106000.0,100,400.0,0.0,BU,212900.0,152200.0,False,0.0,13:45:26
106000.0,500,400.0,0.0,BU,212800.0,152200.0,False,0.0,13:45:25
106000.0,500,400.0,0.0,BU,212300.0,152200.0,False,0.0,13:45:06
106000.0,200,400.0,0.0,SD,211800.0,152200.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,152000.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,151400.0,False,0.0,13:44:43
106000.0,600,400.0,0.0,SD,211800.0,150800.0,False,0.0,13:44:43
106000.0,100,400.0,0.0,SD,211800.0,150200.0,False,-1000.0,13:44:43
107000.0,100,1400.0,0.0,BU,211800.0,150100.0,False,0.0,13:44:41
107000.0,1600,1400.0,0.0,BU,211700.0,150100.0,False,200.0,13:44:41
106800.0,1400,1200.0,0.0,BU,210100.0,150100.0,False,0.0,13:44:41
106800.0,1500,1200.0,0.0,BU,208700.0,150100.0,False,200.0,13:44:41
106600.0,300,1000.0,0.0,BU,207200.0,150100.0,False,100.0,13:44:41
106500.0,200,900.0,0.0,BU,206900.0,150100.0,False,0.0,13:44:41
106500.0,200,900.0,0.0,BU,206700.0,150100.0,False,0.0,13:44:41
106500.0,100,900.0,0.0,BU,206500.0,150100.0,False,0.0,13:44:41
106500.0,800,900.0,0.0,BU,206400.0,150100.0,False,100.0,13:44:41
106400.0,600,800.0,0.0,BU,205600.0,150100.0,False,0.0,13:44:41
106400.0,600,800.0,0.0,BU,205000.0,150100.0,False,0.0,13:44:41
106400.0,100,800.0,0.0,BU,204400.0,150100.0,False,100.0,13:44:41
106300.0,600,700.0,0.0,BU,204300.0,150100.0,False,0.0,13:44:41
106300.0,600,700.0,0.0,BU,203700.0,150100.0,False,0.0,13:44:41
106300.0,100,700.0,0.0,BU,203100.0,150100.0,False,100.0,13:44:41
106200.0,1200,600.0,0.0,BU,203000.0,150100.0,False,-100.0,13:44:41
106300.0,500,700.0,0.0,BU,201800.0,150100.0,False,0.0,13:44:39
106300.0,100,700.0,0.0,BU,201300.0,150100.0,False,0.0,13:44:39
106300.0,500,700.0,0.0,BU,201200.0,150100.0,False,-100.0,13:44:01
106400.0,500,800.0,0.0,BU,200700.0,150100.0,False,-100.0,13:42:58
106500.0,500,900.0,0.0,BU,200200.0,150100.0,False,0.0,13:42:26
106500.0,600,900.0,0.0,BU,199700.0,150100.0,False,500.0,13:41:55
106000.0,500,400.0,0.0,SD,199100.0,150100.0,False,0.0,13:41:05
106000.0,100,400.0,0.0,SD,199100.0,149600.0,False,0.0,13:41:05
106000.0,100,400.0,0.0,SD,199100.0,149500.0,False,0.0,13:40:12
106000.0,100,400.0,0.0,SD,199100.0,149400.0,False,0.0,13:40:12
106000.0,300,400.0,0.0,SD,199100.0,149300.0,False,0.0,13:40:12
106000.0,100,400.0,0.0,SD,199100.0,149000.0,False,-500.0,13:40:12
106500.0,100,900.0,0.0,BU,199100.0,148900.0,False,400.0,13:40:10
106100.0,400,500.0,0.0,BU,199000.0,148900.0,False,0.0,13:40:10
106100.0,100,500.0,0.0,BU,198600.0,148900.0,False,100.0,13:39:57
106000.0,100,400.0,0.0,SD,198500.0,148900.0,False,0.0,13:39:37
106000.0,500,400.0,0.0,SD,198500.0,148800.0,False,-100.0,13:39:37
106100.0,100,500.0,0.0,SD,198500.0,148300.0,False,0.0,13:39:14
106100.0,100,500.0,0.0,SD,198500.0,148200.0,False,0.0,13:39:02
106100.0,500,500.0,0.0,SD,198500.0,148100.0,False,100.0,13:39:02
106000.0,100,400.0,0.0,BU,198500.0,147600.0,False,0.0,13:37:11
106000.0,400,400.0,0.0,BU,198400.0,147600.0,False,0.0,13:37:11
106000.0,100,400.0,0.0,BU,198000.0,147600.0,False,0.0,13:37:05
106000.0,100,400.0,0.0,BU,197900.0,147600.0,False,0.0,13:36:57
106000.0,1000,400.0,0.0,BU,197800.0,147600.0,False,0.0,13:36:53
106000.0,400,400.0,0.0,BU,196800.0,147600.0,False,0.0,13:36:50
106000.0,200,400.0,0.0,BU,196400.0,147600.0,False,0.0,13:36:35
106000.0,500,400.0,0.0,BU,196200.0,147600.0,False,0.0,13:36:22
106000.0,500,400.0,0.0,BU,195700.0,147600.0,False,0.0,13:35:42
106000.0,100,400.0,0.0,BU,195200.0,147600.0,False,0.0,13:35:33
106000.0,1700,400.0,0.0,BU,195100.0,147600.0,False,0.0,13:35:29
106000.0,600,400.0,0.0,BU,193400.0,147600.0,False,0.0,13:35:29
106000.0,300,400.0,0.0,BU,192800.0,147600.0,False,0.0,13:35:06
106000.0,500,400.0,0.0,BU,192500.0,147600.0,False,0.0,13:34:35
106000.0,100,400.0,0.0,BU,192000.0,147600.0,False,0.0,13:34:22
106000.0,400,400.0,0.0,BU,191900.0,147600.0,False,0.0,13:34:10
106000.0,200,400.0,0.0,BU,191500.0,147600.0,False,0.0,13:34:09
106000.0,400,400.0,0.0,BU,191300.0,147600.0,False,0.0,13:34:09
106000.0,200,400.0,0.0,BU,190900.0,147600.0,False,0.0,13:34:09
